BCL2
COMMD10
CACNG2
SSBP3
RCAN2
GPM6A
DKK2
ZCCHC7
LHFPL6
TSPAN5
ZNRF1
RNF220
SHLD1
RERG
PBX3
SNCA
VWC2L
EFNA5
CADM1
DDAH1
PPM1L
ST6GALNAC5
VWC2
MCU
MBNL1
MACROD1
IGF1
TBCA
CAMKMT
FAM155A
KCTD16
