PLXDC2
DNAJC1
BTBD9
MDGA2
CALN1
MAD1L1
XXYLT1
TPRG1
SNX29
GABRB1
SGCD
ESRRG
BCL2
BRINP3
BMERB1
PRKCA
ACBD6
GABRB2
TMEM163
STX8
THSD7B
COMMD10
PLD5
NSMCE2
HDAC9
STXBP6
PPM1H
BABAM2
TMTC2
CDIN1
ITGBL1
PLCB1
PTPRR
SNTB1
YAF2
METTL15
CPA6
VSNL1
CNTN4
ETV6
ANGPT1
TMEM117
CPQ
PDE4B
CACNG2
BORCS5
NELL2
CDK14
DAB1
MNAT1
RNGTT
EPHB1
TMEM132D
FUT8
SLC9A9
SSBP3
ATP8A2
GABBR2
ALK
RBMS1
FGGY
DACH1
CHST11
MIPOL1
KLF12
MOB3B
CDK6
KHDRBS3
DYNC1I1
BCKDHB
RCAN2
CDH18
MBNL2
GPM6A
UBE3D
TOX
PDGFC
DKK2
KIF6
RAB3C
SORCS1
SLC10A7
ADGRB3
PRKCB
KHDRBS2
SKAP2
PELI2
PRIM2
UBAC2
DOK5
ZCCHC7
CWC27
ARHGAP10
RBPMS
CHCHD3
NR6A1
ARHGAP26
CLYBL
LHFPL6
MED27
PLCXD3
DCLK1
GLIS3
GNA14
BBS9
SLC2A13
CHST9
TSPAN5
MGMT
NPSR1
FARS2
ITFG1
FER
SSBP2
ATG10
UST
EYA4
GAS2
TMEM135
RALGPS1
LHPP
GALNT18
MVB12B
ATRNL1
AOPEP
GFRA1
GMDS
CAMK1D
CDKAL1
MPP7
ZNRF1
HTR4
RNF220
CFDP1
ESR1
GNAO1
SYT9
SIL1
CAMK4
VAV3
RNLS
SHLD1
RERG
NMNAT2
NUBPL
RBMS3
XKR4
AGMO
PBX3
SNCA
SKAP1
SPATA16
STK39
DGKI
CACNA2D1
ZNF385D
NEGR1
PPP1R1C
GRM8
CREB5
MEI4
JAZF1
SCFD2
LIN28B
CEP112
TRAPPC9
VWC2L
NOL4
SLC39A11
EFNA5
C11orf49
AIG1
PARD3B
MMP16
GUCY1A2
CADM1
PTPRT
ERC2
SND1
KSR2
CACNA2D3
GALNT13
LPP
DPP6
ZMAT4
ARHGAP15
GHR
MITF
NTRK3
STXBP5L
TPK1
DDAH1
CTNND2
ADGRL3
STK32B
MEIS2
GRIK4
XRCC4
PARD3
SLCO3A1
PPP3CA
PID1
LCLAT1
CPPED1
ZDHHC14
SOX5
NELL1
PTPRM
DPH6
GRM7
RSU1
DISC1
DOK6
CERS6
LDB2
NME7
GRXCR1
GTDC1
C1orf21
RNF150
WDR70
CELF4
SPOCK1
DGKB
VTI1A
KCNMA1
PDSS2
SORCS3
FSTL4
STAU2
CADPS2
FRMD3
NTNG1
DYM
NFIB
C8orf34
SUCLG2
TAFA4
KLHL1
EDIL3
PRKAG2
AVEN
MPPED2
STK3
DCC
PIP5K1B
DNM3
VAT1L
GPHN
UBE2H
PPM1L
AK5
HHAT
SPATA17
ST6GALNAC5
IGSF21
VWC2
EXOC4
NKAIN2
MCU
GALNT17
GRIK2
PDGFD
GPC6
EBF1
CDH13
FSTL5
SOX6
RSPO2
ZFAND3
LDLRAD3
TCF4
RHBDD1
MBNL1
TFDP2
QKI
RUNX1
EXOC6B
ERC1
ASTN2
NDUFAF2
TMEFF2
CTIF
SLC24A3
MICU1
TTC29
CDH8
KCNAB1
TEAD1
DPYD
CCDC148
ZNF385B
GRID1
ST6GALNAC3
MACROD1
CLVS1
NFIA
PCCA
LARGE1
ELMO1
FTO
IGF1
DENND1A
HCN1
ADK
TBC1D5
SEMA5A
ITPK1
TCF12
OXR1
ZNF704
COG5
GSK3B
NLGN1
CCDC178
AGBL1
FAM172A
MCTP1
PIP4K2A
PACRG
RSRC1
SUGCT
ELOVL6
CAMKMT
PRKCE
CTNNA3
FAM155A
MAPKAP1
SMYD3
CFAP77
KCTD16
CNTNAP5
GNAQ
