PLXDC2
BTBD9
MDGA2
CALN1
MAD1L1
XXYLT1
TPRG1
SNX29
GABRB1
SGCD
BCL2
BMERB1
PRKCA
ACBD6
GABRB2
TMEM163
STX8
THSD7B
COMMD10
PLD5
NSMCE2
STXBP6
PPM1H
BABAM2
TMTC2
CDIN1
ITGBL1
PLCB1
SNTB1
METTL15
CPA6
VSNL1
CNTN4
ETV6
TMEM117
CPQ
PDE4B
BORCS5
CDK14
DAB1
MNAT1
RNGTT
TMEM132D
FUT8
SLC9A9
ATP8A2
RBMS1
FGGY
DACH1
CHST11
MIPOL1
KLF12
MOB3B
CDK6
KHDRBS3
DYNC1I1
BCKDHB
RCAN2
CDH18
GPM6A
TOX
PDGFC
RAB3C
SORCS1
SLC10A7
PRKCB
KHDRBS2
SKAP2
PRIM2
UBAC2
DOK5
CWC27
RBPMS
CHCHD3
NR6A1
ARHGAP26
CLYBL
LHFPL6
MED27
PLCXD3
GLIS3
GNA14
BBS9
SLC2A13
CHST9
TSPAN5
MGMT
NPSR1
FARS2
ITFG1
FER
SSBP2
ATG10
UST
TMEM135
RALGPS1
LHPP
GALNT18
MVB12B
ATRNL1
GMDS
CAMK1D
CDKAL1
SIL1
CAMK4
RNLS
SHLD1
RERG
NMNAT2
NUBPL
RBMS3
XKR4
AGMO
PBX3
SNCA
SKAP1
STK39
ZNF385D
NEGR1
PPP1R1C
GRM8
CREB5
MEI4
JAZF1
SCFD2
LIN28B
CEP112
TRAPPC9
VWC2L
NOL4
SLC39A11
EFNA5
C11orf49
AIG1
PARD3B
CADM1
PTPRT
ERC2
KSR2
CACNA2D3
GALNT13
LPP
DPP6
ZMAT4
ARHGAP15
TPK1
DDAH1
CTNND2
ADGRL3
STK32B
XRCC4
PARD3
PPP3CA
PID1
LCLAT1
ZDHHC14
SOX5
NELL1
PTPRM
DPH6
GRM7
RSU1
DOK6
CERS6
LDB2
NME7
GTDC1
C1orf21
RNF150
WDR70
CELF4
SPOCK1
DGKB
VTI1A
KCNMA1
PDSS2
SORCS3
STAU2
NTNG1
DYM
C8orf34
SUCLG2
TAFA4
KLHL1
EDIL3
PRKAG2
MPPED2
STK3
DCC
PIP5K1B
DNM3
GPHN
UBE2H
PPM1L
HHAT
SPATA17
ST6GALNAC5
IGSF21
EXOC4
NKAIN2
MCU
GALNT17
GRIK2
PDGFD
GPC6
EBF1
CDH13
FSTL5
RSPO2
ZFAND3
LDLRAD3
TCF4
RHBDD1
MBNL1
RUNX1
EXOC6B
ASTN2
NDUFAF2
TMEFF2
CTIF
SLC24A3
MICU1
TTC29
KCNAB1
TEAD1
DPYD
ZNF385B
GRID1
ST6GALNAC3
MACROD1
CLVS1
NFIA
PCCA
LARGE1
ELMO1
FTO
IGF1
DENND1A
ADK
TBC1D5
TCF12
OXR1
ZNF704
GSK3B
NLGN1
CCDC178
AGBL1
FAM172A
MCTP1
PACRG
RSRC1
SUGCT
ELOVL6
CAMKMT
PRKCE
CTNNA3
FAM155A
MAPKAP1
SMYD3
CFAP77
KCTD16
CNTNAP5
GNAQ
