PLXDC2
DNAJC1
MDGA2
TPRG1
GABRB1
SGCD
ESRRG
BRINP3
ACBD6
GABRB2
THSD7B
COMMD10
NSMCE2
HDAC9
STXBP6
BABAM2
TMTC2
CDIN1
ITGBL1
PLCB1
PTPRR
YAF2
METTL15
CNTN4
ANGPT1
TMEM117
CPQ
PDE4B
NELL2
CDK14
MNAT1
RNGTT
FUT8
SLC9A9
RBMS1
DACH1
MIPOL1
KLF12
CDK6
KHDRBS3
DYNC1I1
BCKDHB
RCAN2
CDH18
GPM6A
UBE3D
TOX
PDGFC
DKK2
RAB3C
SLC10A7
ADGRB3
KHDRBS2
SKAP2
PELI2
PRIM2
DOK5
ZCCHC7
CWC27
CHCHD3
LHFPL6
PLCXD3
BBS9
SLC2A13
CHST9
NPSR1
ITFG1
FER
SSBP2
ATG10
EYA4
GAS2
TMEM135
ATRNL1
CDKAL1
MPP7
HTR4
ESR1
CAMK4
VAV3
RERG
NUBPL
RBMS3
AGMO
PBX3
SNCA
SKAP1
SPATA16
DGKI
CACNA2D1
ZNF385D
NEGR1
PPP1R1C
GRM8
MEI4
SCFD2
LIN28B
CEP112
VWC2L
NOL4
EFNA5
AIG1
PARD3B
MMP16
GUCY1A2
CADM1
GALNT13
LPP
ARHGAP15
GHR
MITF
STXBP5L
TPK1
DDAH1
CTNND2
ADGRL3
MEIS2
XRCC4
PPP3CA
PID1
LCLAT1
SOX5
NELL1
DPH6
GRM7
DOK6
CERS6
NME7
GRXCR1
GTDC1
RNF150
WDR70
DGKB
VTI1A
PDSS2
STAU2
CADPS2
NTNG1
DYM
NFIB
C8orf34
SUCLG2
TAFA4
KLHL1
EDIL3
STK3
DCC
DNM3
GPHN
PPM1L
AK5
SPATA17
ST6GALNAC5
VWC2
EXOC4
NKAIN2
MCU
GRIK2
PDGFD
GPC6
EBF1
FSTL5
SOX6
ZFAND3
TCF4
RHBDD1
MBNL1
TFDP2
QKI
EXOC6B
ERC1
NDUFAF2
TMEFF2
TTC29
CDH8
DPYD
CCDC148
ZNF385B
ST6GALNAC3
CLVS1
PCCA
IGF1
HCN1
ADK
TBC1D5
TCF12
OXR1
COG5
GSK3B
NLGN1
CCDC178
AGBL1
FAM172A
MCTP1
PACRG
RSRC1
SUGCT
ELOVL6
CAMKMT
CTNNA3
FAM155A
KCTD16
CNTNAP5
GNAQ
