ENSG00000143324
ENSG00000178950
ENSG00000163297
ENSG00000265491
ENSG00000120594
ENSG00000136770
ENSG00000275700
ENSG00000138336
ENSG00000112367
ENSG00000112320
ENSG00000085382
ENSG00000087303
ENSG00000164465
ENSG00000111879
ENSG00000112062
ENSG00000124772
ENSG00000183826
ENSG00000124721
ENSG00000111816
ENSG00000178425
ENSG00000172731
ENSG00000155111
ENSG00000112394
ENSG00000112769
ENSG00000139915
ENSG00000116833
ENSG00000166111
ENSG00000110880
ENSG00000167037
ENSG00000146350
ENSG00000183166
ENSG00000133105
ENSG00000061936
ENSG00000102755
ENSG00000139517
ENSG00000196498
ENSG00000139767
ENSG00000089154
ENSG00000160179
ENSG00000160190
ENSG00000160191
ENSG00000160207
ENSG00000082438
ENSG00000146535
ENSG00000099991
ENSG00000175727
ENSG00000204842
ENSG00000002822
ENSG00000186716
ENSG00000158023
ENSG00000173064
ENSG00000089169
ENSG00000122965
ENSG00000089225
ENSG00000009954
ENSG00000124789
ENSG00000263001
ENSG00000091409
ENSG00000172020
ENSG00000018510
ENSG00000128654
ENSG00000115966
ENSG00000198862
ENSG00000157617
ENSG00000185658
ENSG00000036054
ENSG00000159267
ENSG00000095397
ENSG00000127249
ENSG00000198836
ENSG00000173950
ENSG00000185621
ENSG00000144909
ENSG00000114520
ENSG00000221955
ENSG00000244405
ENSG00000058866
ENSG00000057294
ENSG00000127241
ENSG00000099917
ENSG00000205678
ENSG00000188001
ENSG00000198919
ENSG00000114446
ENSG00000170017
ENSG00000198092
ENSG00000072858
ENSG00000144857
ENSG00000145242
ENSG00000163453
ENSG00000138759
ENSG00000122484
ENSG00000166979
ENSG00000138767
ENSG00000142207
ENSG00000142149
ENSG00000069702
ENSG00000109189
ENSG00000122482
ENSG00000163624
ENSG00000138678
ENSG00000206527
ENSG00000138463
ENSG00000157404
ENSG00000138760
ENSG00000138674
ENSG00000134853
ENSG00000109171
ENSG00000072201
ENSG00000145246
ENSG00000048471
ENSG00000163288
ENSG00000109158
ENSG00000151834
ENSG00000116141
ENSG00000170624
ENSG00000138669
ENSG00000163285
ENSG00000138768
ENSG00000115112
ENSG00000092969
ENSG00000135842
ENSG00000153066
ENSG00000116962
ENSG00000125633
ENSG00000121892
ENSG00000164574
ENSG00000120332
ENSG00000196482
ENSG00000088179
ENSG00000135862
ENSG00000183044
ENSG00000162852
ENSG00000113924
ENSG00000082482
ENSG00000171791
ENSG00000162670
ENSG00000143776
ENSG00000081913
ENSG00000175175
ENSG00000108599
ENSG00000162733
ENSG00000035928
ENSG00000108846
ENSG00000157796
ENSG00000109689
ENSG00000109680
ENSG00000143772
ENSG00000070366
ENSG00000108474
ENSG00000031081
ENSG00000143164
ENSG00000143514
ENSG00000166780
ENSG00000080493
ENSG00000134371
ENSG00000176658
ENSG00000154229
ENSG00000022355
ENSG00000230124
ENSG00000006740
ENSG00000117707
ENSG00000047662
ENSG00000143748
ENSG00000065325
ENSG00000116132
ENSG00000145864
